phrasalVerb,definition
be along,arrive
be away,"be elsewhere; on holiday, etc."
be cut out for,"be suitable, have the necessary qualities"
be cut up,be upset
be down,be depressed
be down,be reduced or less
be down on,have negative feelings toward someone
be down with,be ill
be fed up,"be bored, upset or sick of something"
be in,be at home or at work
be in,"be submitted, arrive"
be in on,be involved in
be into,like
be not on,be unacceptable
be off,be bad (of food)
be off,"depart, leave"
be on,"be at the top of one�s game, performing very well"
be on,be functioning (of machines)
be on,"take medication or drugs, especially when they affect the person badly"
be on,take place
be on about,"mean, try to say"
be onto,"pursue, be aware of someone's true nature"
be out,be absent from a place
be out of,have no more left
be out to,attempt
be snowed under,have too much work
be taken aback,be shocked or surprised
be taken with,like something
be to do with,be connected with
be up,be out of bed
be up,have increased or risen
be up,when the time for something finishes or expires
be up for,be enthusiastic about an upcoming event
be up to,be good enough
be up to,doing something naughty or wrong
beam down,"in science fiction stories, to send someone down onto a planet from a spacecraft using special electronic equipment"
beam up,"in science fiction stories, to bring someone back to their spacecraft using special electronic equipment"
bear down,to move quickly towards someone in a determined and threatening way
bear down,to push or press downwards
bear down on,to move quickly towards someone in a determined and threatening way
bear down on,to push or press downwards
bear on,to be connected with something or to influence it
bear out,to show that something is true or that someone is telling the truth
bear up,to behave in a brave way in a very sad or difficult situation
bear up under,to behave in a brave way in a very sad or difficult situation
bear with,used as a polite way of asking someone to be patient while you do or finish something
beat down,"if the rain beats down, it rains very hard"
beat down,"if the sun beats down, it shines very brightly making the weather very hot"
beat down,to persuade someone to sell you something at a lower price than their first offer
beat off,to prevent someone from physically attacking you by hitting them with your hands or with an object
beat off,to succeed in winning or gaining something from an opponent
beat on,to hurt someone by hitting them a lot of times
beat out,to make a pattern of sounds by hitting an instrument or other object
beat out,to make someone tell you something by hitting them
beat out,to stop a fire from burning by hitting it with something
beat out,to succeed in winning or gaining something that someone else wants
beat up,to blame or criticize yourself or someone else
beat up,to hurt someone by hitting or kicking them many times
beat up on,same as beat up
beaver away,"if you beaver away at something, you work very hard at it"
beaver away at,work hard doing something
become of,"used for asking what has happened to someone or something, because you have not seen them for a long time, or what will happen to them, because you are worried about them"
bed down,"to lie down, or to put someone else into a bed or another place to sleep"
bed out,to plant young plants outdoors
beef up,"to increase or improve something, or to make it more interesting"
believe in,to feel confident that a person or organization is good or reliable
believe in,to think that an idea or a way of doing something is good or right
believe in,to think that someone or something exists
belong to,"if a particular time, aspect of life, way of thinking etc belongs to a particular group, they are the people who control it or who are the most suitable for it"
belong to,"if something belongs to someone, they deserve it or have a right to it"
belong to,to be a member of an organization or club
belong to,to be owned by someone
belong to,to come from or be part of a group of similar things or people
belong to,to come from or be related to a particular time or place
belong with,be in the correct or appropriate location with other items
belt down,"to drink alcoholic drinks quickly, one after another"
belt out,"to shout or sing something loudly, or to play something loudly on a musical instrument"
belt up,to put on a seat belt in a car
belt up,used for telling someone to be quiet
bend down,lower the top half of your body
bend over,lower the top part of your body
bend over backwards,do a lot to try to help or please someone
bid up,"to offer money for something in order to increase its price, and not because you want to buy it"
big up,"to enjoy yourself in a social situation, often by spending a lot of money"
big up,to praise or support someone or something in an enthusiastic way and attract attention to them by doing this
bill as,"to advertise or describe someone or something in a particular way, especially in order to make them sound interesting or important"
bind over,"if a court binds someone over, it warns them that they will be punished if they break the law again"
bind over,to allow someone bail when they are waiting to appear in court
bitch up,spoil or ruin something
bite at,to try to bite something without in fact managing to bite it
bite back,to react angrily to someone who has done or said something unpleasant to you
bite back,to stop yourself from saying what you think
bite into,to press hard into a surface
bite off,to separate something from the main part by biting
bite off,to try to do too much or something that is too hard for you
black out,"to make a place dark by turning off all the lights, for example so that the enemy cannot see a place at night."
black out,to prevent someone from reading or seeing something by covering it with something dark
black out,to suddenly become unconscious
blank out,"if you blank out a feeling, memory, warning etc, you deliberately try not to think about it or try to forget it"
blank out,same as blank
blank out,to hide or cover something so that you cannot see it
blare out,a loud sound or music
blast away,"if music is blasting away, it is playing very loudly"
blast away,to shoot at someone or something a lot of times
blast off,"if a spaceship blasts off, it leaves the ground"
blaze away,fire a gun repeatedly
bleed out,cause sufficient blood loss to result in death
bleep out,"to replace a swearword in a television or radio broadcast with a short high sound, so that people are not offended"
blend in,"if someone or something blends in, they are similar to the other people, objects, buildings etc around them, and so they seem appropriate or you do not notice them"
blend into,to seem to gradually change into something else
bliss out,"to start to feel relaxed and happy, or to make someone start to feel relaxed and happy"
block in,to completely cover a large area of something such as a painting with one colour
block in,to plan something large or complicated by organizing your general ideas for it
block in,to stop someone from moving their car out of a place
block off,to completely stop something from happening or progressing
block off,to cover or close something completely so that nothing can move through it
block out,same as block in
block out,to stop light or sound from reaching something
block out,to stop yourself from thinking about or remembering something
block up,same as block
blot out,to cover something so that you can no longer see it
blot out,"to forget something unpleasant, or to make someone forget an unpleasant memory or feeling"
blot up,same as blot
blow apart,to destroy something with an explosion
blow apart,to show that an idea is completely false or wrong
blow away,"if something blows away or is blown away, the wind moves it away from you until you cannot see or touch it"
blow away,to defeat someone completely and easily
blow away,to impress someone very much or make them very excited
blow away,to kill someone by shooting them
blow down,"if something blows down or is blown down, the wind makes it fall"
blow in,"if a window blows in, or if something blows it in, it breaks into pieces that fall inside the building"
blow in,to arrive unexpectedly
blow in,to come towards you in the air
blow off,"if something blows off or is blown off, the wind makes it come off"
blow off,to behave as if you think someone or something is unimportant
blow off,to fart
blow off,to not do something you had agreed or arranged to do
blow off,to remove and destroy something by shooting it or making it explode
blow out,"if a storm blows itself out, it ends"
blow out,"if a window blows out, or if something blows it out, it breaks into pieces that fall outside the building"
blow out,"if you blow out a flame, or if it blows out, it stops burning because you blow on it or because of the wind"
blow out,same as blow
blow out,to defeat someone easily
blow over,"if a dangerous or embarrassing situation blows over, people stop worrying about it and soon forget about it"
blow over,"if a storm blows over, it ends"
blow over,"if something blows over or is blown over, the wind makes it fall"
blow up,"if a serious argument or problem blows up, it begins suddenly"
blow up,"if a storm or strong wind blows up, it suddenly starts"
blow up,"if something blows up, or if someone blows something up, it explodes and is destroyed"
blow up,"if your plans blow up in your face, they do not happen as you expected and cause a lot of problems"
blow up,to fill something with air or gas
blow up,to make a photograph bigger
blow up,to suddenly become angry and shout at someone
blurt out,"say something quickly without thinking, especially if you shouldn't"
board off,to hide something by putting wooden boards over or around it
board out,to arrange for a person or animal to stay with someone who is paid to look after them for a period of time
board over,to cover something with wooden boards
board up,to cover a window or door with wooden boards
bob up,to move up and come into view with a short quick movement
bog down,to be or become so involved with one particular thing that you cannot make any progress
bog down,to be or become stuck in soft wet ground
bog in,eat enthusiastically
bog into,eat something enthusiastically
bog off!,get lost
boil away,"if a liquid boils away, or if you boil it away, it disappears and turns to gas after reaching a very high temperature"
boil down,"to become smaller in quantity after cooking because some of the liquid has turned to gas, or to make something do this"
boil down,"to make something such as a piece of writing shorter by giving only the basic, most important facts"
boil down to,to be the main reason for something or the most basic part of something
boil over,"if a liquid boils over, it rises so much when it boils that it flows over the top of the container that it is in"
boil over,"if a situation or feeling boils over, people cannot control their anger and start to fight or argue"
boil up,"if a situation or feeling boils up, people start to feel angry"
boil up,"to heat liquid, or to heat something in a liquid, until it boils"
bolster up,"give support, reinforce, strengthen"
bomb out,to be forced to leave a place because of being attacked by bombs
bone up,"to study hard or learn about something in order to prepare for a test, meeting etc"
bone up on,"to study hard or learn about something in order to prepare for a test, meeting etc"
book in,"to announce that you have arrived at a hotel or event so that your name can be put on an official record. You can also say check in, which is the usual American word"
book in,"to arrange for yourself or someone else to stay at a hotel, hospital etc"
book into,check in at a hotel
book into,make a reservation in advance
book on,"to buy tickets for someone for a specific journey on a plane, train, or bus"
book out,leave a place in a hurry
book up,reserve
boot out,"to make someone leave a place, their job, or something that they are involved in"
boot up,"if a computer boots, or if you boot it, it starts working and becomes ready to use"
boot up,to kick something or someone hard
border on,same as border
border on,"to be very near to a particular quality, feeling, state etc"
bore into,"if someone’s eyes bore into you, they look at you very hard and this makes you feel nervous"
boss about,use excessive authority to control people
boss around,to keep telling other people what to do
botch up,ruin or spoil something
bottle away,store up
bottle out,to not do something because you do not feel brave enough
bottle up,"to stop yourself from showing negative emotions like anger and disappointment, especially over a long period, so that these feelings develop in a harmful way"
bottom out,"if something such as an economy or price bottoms out, it reaches its lowest level before starting to improve again"
bounce around,to discuss something in order to make a decision
bounce back,"if a market or price bounces back, it rises again after falling"
bounce back,"to become healthy, happy, or successful again after something bad has happened to you"
bounce into,force someone
bounce off,"if light or sound bounces off a surface, it hits it and then moves away from it again"
bounce off,to discuss something with someone in order to get their opinion and make a decision
bow down to,to show respect to someone who is more powerful than you
bow out,"to give up a job or position, especially when you have had it for a long time"
bow to,"to agree to do what someone wants you to do, although you do not want to"
bowl out,same as bowl
bowl out,to remove all of one team’s players from play in cricket and so end their turn at hitting the ball
bowl over,"to knock someone over, because you are hurrying somewhere"
bowl over,"to surprise someone by being very beautiful, impressive, unexpected etc"
box in,to limit someone’s freedom to choose what to do
box in,"to surround a person or vehicle, so that they cannot move or leave a place"
box off,"to separate an area from the rest of a place, especially by building a wall around it"
box up,same as box
brace up,feel more confident or optimistic about something
branch off,to leave the main part of something
branch out,to start doing something new or different
brave out,"to deal with an unpleasant situation in a confident, patient, and determined way"
break away,"if a part of something breaks away from the rest, it becomes separated from it"
break away,"to escape from a person, place, or situation"
break away,"to leave a political party or other group, especially in order to start another one"
break down,"if a machine or vehicle breaks down, it stops working"
break down,"if a relationship or discussion breaks down, it stops being successful"
break down,"if a substance breaks down or is broken down into parts, it separates into the parts that it is made up of"
break down,to divide something such as a total amount into separate parts
break down,to hit something such as a door or wall very hard so that it falls down
break down,to remove a difficulty that prevents something from happening
break down,"to start crying, especially in public"
break for,"to go somewhere quickly, especially in order to escape"
break in,"to enter a building by force, especially in order to steal things"
break in,"to help someone get used to something new, for example a new job"
break in,to interrupt when someone is talking
break in,to make new shoes or clothes comfortable by wearing them
break in,to train a horse that is young or wild
break into,to interrupt someone when they are talking or thinking
break into,to start doing something
break into,to start to have success in your career or an area of activity
break into,to start to use an amount of money
break off,"if a part of something breaks off, it becomes separated from the main part"
break off,"if you break a piece off something, you remove it from the main part"
break off,to end a relationship or a discussion
break off,"to stop doing something, especially speaking"
break out,"if something bad such as a war or disease breaks out, it starts"
break out,"if something such as spots break out, or if you break out in spots, spots start to appear on your skin"
break out,to escape from a prison
break out,to escape from something such as a situation or way of life
break out in,"if something bad such as a war or disease breaks out, it starts"
break out in,"if something such as spots break out, or if you break out in spots, spots start to appear on your skin"
break out in,to escape from a prison
break out in,to escape from something such as a situation or way of life
break out of,"if something bad such as a war or disease breaks out, it starts"
break out of,"if something such as spots break out, or if you break out in spots, spots start to appear on your skin"
break out of,to escape from a prison
break out of,to escape from something such as a situation or way of life
break through,"if something that was hidden breaks through something, it appears through it"
break through,"if the sun breaks through the clouds, it appears from behind them"
break through,to force your way through something that is stopping you from moving forward
break through,to successfully deal with something that is stopping you making progress
break up,"if a meeting or other event breaks up, or if you break it up, it ends and people leave"
break up,"if a relationship breaks up, it ends"
break up,"if schools break up, or if students or teachers break up, the students and teachers stop working at the end of term"
break up,"if something breaks up, it breaks into smaller pieces"
break up,"if the sound on a radio or mobile phone breaks up, you can no longer hear the person who is speaking on it"
break up,"if two people break up, they end their relationship"
break up,to break something to make smaller pieces
break up,to divide a large area or a period of time into smaller parts so that it does not seem so big or long
break up,to stop a fight
break with,"if someone breaks with the past or with tradition, they start doing things in a completely new way"
break with,"to leave a group of people, usually because of a disagreement"
breathe in,to take air into your lungs through your nose or mouth
breathe in,to take other substances into your lungs through your nose or mouth
breathe out,to send air out of your lungs through your nose or mouth
breathe out,to send other substances out of your lungs through your nose or mouth
breed out,remove a character trait by controlling reproduction
breeze along,move easily and quickly
breeze in,enter a place quickly
breeze into,enter a place quickly
breeze through,to do something very easily or confidently
brew up,"to create a situation that causes difficulty, or to develop as a situation that will cause difficulty"
brew up,to make a drink of tea
brick in,to fill a space in a wall with bricks
brick up,to fill a space in a wall with bricks
brighten up,"if the weather brightens up, it becomes sunnier"
brighten up,same as brighten
brim over,to be full of a strong emotion
brim over,"to be too full, so that something is falling out"
bring about,"to make something happen, especially to cause changes in a situation"
bring along,to take someone or something with you when you go somewhere
bring around,same as bring round
bring back,to bring something with you when you come back from a place
bring back,"to cause ideas, feelings, or memories to be in your mind again"
bring back,to give someone a job or position that they had in the past
bring back,to make a dead person live again
bring back,to save someone’s life when they have almost died
bring back,to start using or doing things that were used or done in the past
bring back,used for saying that you are going to talk about a subject that you have already talked about
bring before,"to arrange for a case to be discussed in a court, committee, or parliament"
bring before,to make someone go to court because they have been accused of doing something wrong
bring down,to cause a government or politician to lose power
bring down,to make someone or something move or fall to the ground
bring down,"to reduce the rate, level, or amount of something"
bring forth,"to produce something, or to cause a particular reaction"
bring forward,to announce plans or ideas officially so that people can discuss them
bring forward,to change the date or time of an event so that it happens earlier
bring in,to be the reason that someone or something receives a particular amount of money
bring in,to introduce a new law or system
bring in,to involve someone in a radio or TV discussion
bring in,to say officially whether someone is guilty or not
bring in,to take somebody to another place
bring in,to use the skills of a particular group or person
bring off,to succeed in doing something difficult
bring on,"to be the cause of something bad, especially an illness"
bring on,to make something bad happen to someone
bring out,to make someone or something show a quality that they have
bring out,to produce a new product and start to sell it
bring out in,to make particular marks appear on someone’s skin
bring over,"to take someone or something from one place to the place where someone else is, especially their home"
bring round,to introduce a new subject when speaking
bring round,to make someone who is unconscious become conscious
bring round,to persuade someone to agree with you
bring round,"to take someone or something somewhere, especially to someone’s house"
bring through,to take someone or something from one place and have them with you when you arrive somewhere else
bring together,"to create a situation in which people meet and do something together, especially when they would not usually do so"
bring up,to look after a child until he or she becomes an adult
bring up,to make food or drink come back up from your stomach through your mouth
bring up,to make someone go to court because they have been accused of doing something wrong
bring up,to make someone stop what they are doing or saying because they are very surprised
bring up,to start discussing a subject
bring up,to teach a child to behave in a particular way or to have particular beliefs
bring up,used for saying where or how someone lived when they were a child
bring up against,to make someone have to deal with something
bristle with,to have a lot of something
broaden out,same as broaden
brush aside,to refuse to accept that something is important or true
brush away,to refuse to accept or listen to something that someone says
brush down,to clean someone or something using your hands or a brush
brush off,"to refuse to listen to someone, or to accept that something might be true or important"
brush up,to practise and improve your skills or knowledge of something
bubble over,"if a happy or excited feeling bubbles over, you feel it very strongly and usually show that you are feeling it"
bubble under,to have some success but not yet be extremely successful and famous
bubble up,to increase and become more obvious
bubble with,to be full of a happy or excited feeling
buck up,"to try to make someone happier, or to become happier"
buck up,used for telling someone to try harder
bucket down,to rain very hard
buckle down,to start working hard and seriously
buckle under,"accept something under pressure, against your will"
buckle up,same as buckle
buckle up,"to fasten your seat belt in a car, plane etc"
budge up,to move so that there is space for someone else
buff up,"clear, clean or make something shine"
buff up,improve
buff up on,improve your knowledge quickly
bug off,used for telling someone rudely to go away
bug off!,used for telling someone rudely to go away
bug out,"if someone’s eyes bug out, they open very wide, for example because the person is shocked by something"
bug out,to become too frightened to do something
bug out,to leave quickly
bugger about,to cause problems for someone
bugger about,to waste time behaving in a silly way
bugger off,to leave or go away
bugger off,used for telling someone rudely to go away
bugger up,to spoil something or do something badly
build around,to make a particular aim or idea the main part of something
build in,to build something such as a piece of furniture so that it becomes part of a wall or room
build in,"to make something part of a plan, system, calculation etc"
build into,to build something such as a piece of furniture so that it becomes part of a wall or room
build into,"to make something part of a plan, system, calculation etc"
build on,to build a new room or part onto the outside of a building
build on,to do something in addition to what you have already achieved
build up,same as build
build up,"to make someone bigger, healthier, and stronger, especially by making them eat more"
build up,to make someone think that something good is going to happen when in fact it is very unlikely
build up,to talk about someone or something in a very positive way so that people are impressed with them
build up to,to gradually prepare yourself or someone else for something that you are going to say or do
build upon,same as build on
bulk out,to add something to something else to make it bigger or more satisfactory
bulk up,to become bigger and heavier
bully off,to start a game of hockey by hitting another player’s stick and then the ground before trying to hit the ball
bum around,to spend time relaxing and doing nothing
bum around,to spend time travelling around a place without having any particular plans about where you will go next
bum out,to annoy someone or make them disappointed
bump along,"to continue at around the same level, rising and falling only slightly"
bump into,to accidentally hit against something
bump into,to meet someone unexpectedly
bump off,to murder someone
bump up,to increase something
bump up,to move someone to a better position or job
bump up against,to experience a problem that slows down your progress
bundle off,"to make someone go somewhere, especially in order to get rid of them"
bundle out,expel
bundle up,same as bundle
bundle up,"to put warm clothes on yourself or someone else, or to wrap someone in something warm"
bung up,same as bung
bung up,to have a blocked nose because you have a cold
bunk off,to not go to school or work when you do not have a good reason for staying away
buoy up,keep afloat
buoy up,make someone feel more positive
burn away,"to remove something, or to be removed, by burning"
burn down,"if a fire or flame burns down, it becomes smaller and less hot"
burn down,"to destroy a building or something large with fire, or to be destroyed in this way"
burn in,to use a piece of software continuously to check for problems
burn off,to remove something by burning it
burn off,to use up energy or get rid of fat from your body by doing physical activity
burn out,"if a fire burns out, or if it burns itself out, it stops burning"
burn out,"if a piece of electrical equipment burns out, or if it is burned out, it gets too hot and stops working"
burn out,"if a strong feeling burns out, or if it burns itself out, you stop feeling it"
burn out,"if you burn out, or if you burn yourself out, you make yourself ill or unable to continue working because you have worked too hard"
burn out,to burn someone’s home so that they have to leave it
burn out,to completely destroy the inside of something such as a vehicle or building
burn up,"if a machine or vehicle burns up fuel, it uses the fuel to work"
burn up,"if someone is burning up, they are very hot, especially because they have a fever"
burn up,"if something burns up, or if it is burned up, fire completely destroys it"
burn up,same as burn off
burst in on,to suddenly enter a room where someone is doing something
burst into,to suddenly start burning with large flames
burst into,to suddenly start doing something
burst into,to suddenly start working or becoming active
burst out,to suddenly say or shout something
burst out,to suddenly start laughing or crying
bust out,to do something exraordinarily great
bust out,to escape from prison
bust up,same as bust
bust up,to have an argument and end a relationship
butt in,to join a conversation or activity without being asked to
butt out,used for telling someone rudely to go away or not get involved in something
butt up,"to have one side or edge touching something, or to put something in this position"
butter up,to be nice to someone so that they will help or support you
button up,same as button
button up,to complete the final details of something
buy in,to buy a large quantity of something
buy into,"to buy part of a business, especially in order to get control of it"
buy into,"to start to do something that a lot of other people are doing, or to believe something that a lot of other people believe"
buy off,same as buy
buy off,to pay someone to stop threatening you or blackmailing you
buy out,to pay a person or organization the rest of an amount of money that has been promised in a contract so that someone can leave or be forced to leave their job early
buy out,"to pay money so that someone can leave an organization, especially the armed forces, before the time that they had originally agreed"
buy out,to pay money to your business partner so that you can control all of a business you previously owned together
buy up,to buy large amounts of something or all of it that is available
buzz around,"if a place or group of people is buzzing, there is a lot of noise or activity"
buzz around,"if someone’s head, mind, or brain is buzzing with ideas, questions etc or if these are buzzing around in their head, mind, or brain, they cannot stop thinking about them"
buzz around,"if your ears or your head are buzzing, you can hear a continuous sound inside your head"
buzz around,to fly a plane low over people or buildings
buzz around,to move around quickly and busily
buzz around,to move somewhere while buzzing
buzz around,to press a buzzer to attract someone’s attention
buzz around,used about machines or electric tools that make a similar sound when they are being used
buzz around,"when an insect such as a fly or bee buzzes, it makes a rough continuous sound"
buzz off,used for telling someone in a rude way to go away
buzz off!,used for telling someone in a rude way to go away
calculate on,to expect something to happen
call after,"to give a baby the same name as someone else, especially a member of your family"
call around,visit
call at,"if a train, bus, or ship calls somewhere, it stops there during its journey"
call at,"if an animal calls, it makes the sound it usually makes"
call at,to announce that an event such as a meeting or election is going to happen
call at,to announce that passengers should go to their plane because it will soon be leaving
call at,"to ask or tell someone to come to a place, usually so that you can talk to them"
call at,"to criticize someone, or to say unpleasant things about them"
call at,to describe or refer to someone or something in a particular way
call at,to describe yourself in a particular way
call at,to give someone or something a name or title
call at,to make an animal come towards you by making the sound it usually makes
call at,to make an official decision about something that happens in a sports game
call at,to order someone to be present or give evidence in a court of law
call at,to say loudly the names or numbers on a list
call at,"to say that something is a particular amount, although this is not the exact amount"
call at,"to say what you think will happen, for example in politics or business"
